Fecha,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C25,CB01,CB02,ATP01PT01,ATP01PT02,ATP02PT01,CAR02PT01,JTU01PT32,JTU01PT73,M5021,M5022,M5024,M5025,M5026,M5027,M5028,M5029,M5030,M5031,M5074,M5075,M5076,M5077,M5078,M5124,M5126,M5178,M5179,M5180,M5181,M5261
2007-05-12,,,,,,,,11.950,5.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-13,,,,,,,,11.009,6.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-14,,,,,,,,11.615,6.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-15,,,,,,,,11.450,6.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-16,,,,,,,,12.213,6.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-17,,,,,,,,11.399,5.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-18,,,,,,,,11.625,5.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-19,,,,,,,,11.931,6.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-20,,,,,,,,11.409,6.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-21,,,,,,,,11.778,4.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-22,,,,,,,,11.897,6.170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-23,,,,,,,,11.102,5.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-24,,,,,,,,11.435,5.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-25,,,,,,,,10.755,4.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-26,,,,,,,,11.561,4.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-27,,,,,,,,12.378,6.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-28,,,,,,,,11.888,4.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-29,,,,,,,,12.175,4.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-30,,,,,,,,11.884,5.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-31,,,,,,,,12.136,4.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-01,4.944,6.863,,8.315,,12.266,,11.912,4.710,,,,,,,,,,,,,,,,,,,,,,,,5.647,,,4.469,6.309,6.249,,,,,,,,,,,,,,,,
2007-06-02,5.012,7.510,,8.781,,12.354,,11.693,5.142,,,,,,,,,,,,,,,,,,,,,,,,5.768,,,4.929,7.375,6.418,,,,,,,,,,,,,,,,
2007-06-03,5.259,8.932,,10.048,,13.405,,12.353,5.340,,,,,,,,,,,,,,,,,,,,,,,,6.143,,,5.130,7.685,6.865,,,,,,,,,,,,,,,,
2007-06-04,4.713,8.742,,9.439,,12.994,,12.362,4.742,,,,,,,,,,,,,,,,,,,,,,,,5.345,,,3.979,7.278,6.535,,,,,,,,,,,,,,,,
2007-06-05,5.181,8.970,,9.865,,13.208,,11.748,5.542,,,,,,,,,,,,,,,,,,,,,,,,5.588,,,4.501,7.846,7.550,,,,,,,,,,,,,,,,
2007-06-06,5.477,8.726,,9.808,,13.013,,10.493,5.847,,,,,,,,,,,,,,,,,,,,,,,,5.740,,,4.370,8.167,6.540,,,,,,,,,,,,,,,,
2007-06-07,4.805,7.752,,9.184,,13.158,,10.805,4.550,,,,,,,,,,,,,,,,,,,,,,,,4.809,,,3.671,6.758,7.045,,,,,,,,,,,,,,,,
2007-06-08,4.330,7.654,,9.429,,13.031,,11.576,4.337,,,,,,,,,,,,,,,,,,,,,,,,4.383,,,3.041,6.817,6.864,,,,,,,,,,,,,,,,
2007-06-09,3.718,7.867,,8.709,,13.059,,12.252,4.027,,,,,,,,,,,,,,,,,,,,,,,,3.865,,,2.433,6.243,5.671,,,,,,,,,,,,,,,,
2007-06-10,3.601,8.547,,9.122,,13.456,,12.904,3.686,,,,,,,,,,,,,,,,,,,,,,,,3.933,,,2.337,6.407,5.958,,,,,,,,,,,,,,,,
2007-06-11,4.162,8.178,,9.117,,13.013,,11.580,4.765,,,,,,,,,,,,,,,,,,,,,,,,4.106,,,2.830,7.205,6.500,,,,,,,,,,,,,,,,
2007-06-12,4.040,8.484,,9.270,,13.387,,10.638,4.032,,,,,,,,,,,,,,,,,,,,,,,,4.133,,,2.983,7.053,6.738,,,,,,,,,,,,,,,,
2007-06-13,3.610,7.757,,8.877,,12.770,,10.685,3.648,,,,,,,,,,,,,,,,,,,,,,,,3.938,,,2.555,6.451,5.666,,,,,,,,,,,,,,,,
2007-06-14,3.953,7.758,,9.083,,13.512,,11.135,3.743,,,,,,,,,,,,,,,,,,,,,,,,4.051,,,2.732,6.131,5.899,,,,,,,,,,,,,,,,
2007-06-15,3.155,7.093,,8.180,,13.391,,11.490,3.116,,,,,,,,,,,,,,,,,,,,,,,,3.224,,,1.817,5.707,5.086,,,,,,,,,,,,,,,,
2007-06-16,3.292,7.372,,8.420,,13.638,,11.988,3.179,,,,,,,,,,,,,,,,,,,,,,,,3.621,,,2.211,6.164,5.317,,,,,,,,,,,,,,,,
2007-06-17,4.146,8.099,,9.616,,13.443,,11.960,4.470,,,,,,,,,,,,,,,,,,,,,,,,4.243,,,2.682,6.763,6.498,,,,,,,,,,,,,,,,
2007-06-18,4.723,9.306,,10.472,,14.459,,12.793,5.628,,,,,,,,,,,,,,,,,,,,,,,,5.025,,,3.750,7.867,7.077,,,,,,,,,,,,,,,,
2007-06-19,4.698,8.890,,9.587,,13.423,,11.462,5.063,,,,,,,,,,,,,,,,,,,,,,,,4.852,,,3.521,7.560,6.832,,,,,,,,,,,,,,,,
2007-06-20,4.200,8.431,,9.730,,14.105,,11.706,4.383,,,,,,,,,,,,,,,,,,,,,,,,4.422,,,3.075,7.453,6.940,,,,,,,,,,,,,,,,
2007-06-21,3.794,7.115,,8.729,,13.358,,12.200,4.070,,,,,,,,,,,,,,,,,,,,,,,,4.118,,,2.748,6.515,6.044,,,,,,,,,,,,,,,,
2007-06-22,3.519,7.415,,8.747,,12.556,,11.791,3.841,,,,,,,,,,,,,,,,,,,,,,,,4.149,,,2.663,6.243,5.324,,,,,,,,,,,,,,,,
2007-06-23,4.978,8.109,,9.510,,13.458,,11.451,5.158,,,,,,,,,,,,,,,,,,,,,,,,5.184,,,4.149,7.291,7.036,,,,,,,,,,,,,,,,
2007-06-24,4.735,8.915,,9.818,,13.993,,11.787,5.083,,,,,,,,,,,,,,,,,,,,,,,,4.903,,,3.523,7.677,6.726,,,,,,,,,,,,,,,,
2007-06-25,4.128,8.821,,9.910,,14.413,,11.499,4.128,,,,,,,,,,,,,,,,,,,,,,,,4.262,,,2.794,6.994,5.749,,,,,,,,,,,,,,,,
2007-06-26,4.364,8.400,,9.913,,13.568,,12.444,4.507,,,,,,,,,,,,,,,,,,,,,,,,4.296,,,2.827,6.954,5.676,,,,,,,,,,,,,,,,
2007-06-27,4.558,9.507,,10.255,,14.903,,12.783,4.502,,,,,,,,,,,,,,,,,,,,,,,,4.754,,,3.652,7.574,6.378,,,,,,,,,,,,,,,,
2007-06-28,3.619,9.195,,9.794,,14.371,,12.276,4.471,,,,,,,,,,,,,,,,,,,,,,,,3.953,,,2.549,7.014,6.104,,,,,,,,,,,,,,,,
2007-06-29,2.475,,,,,13.982,,11.400,4.528,,,,,,,,,,,,,,,,,,,,,,,,3.149,,,2.681,6.111,5.246,,,,,,,,,,,,,,,,
2007-06-30,3.577,,,,,14.632,,12.258,4.576,,,,,,,,,,,,,,,,,,,,,,,,3.877,,,2.743,7.025,6.021,,,,,,,,,,,,,,,,
2007-07-01,2.494,8.743,,9.535,,14.394,,12.358,3.313,,,,,,,,,,,,,,,,,,,,,,,,3.299,,,1.886,5.662,5.323,,,,,,,,,,,,,,,,
2007-07-02,3.360,9.506,,9.943,,14.515,,12.328,4.187,,,,,,,,,,,,,,,,,,,,,,,,3.980,,,2.876,6.402,5.962,,,,,,,,,,,,,,,,
2007-07-03,4.500,9.880,,10.250,,14.357,,12.433,5.418,,,,,,,,,,,,,,,,,,,,,,,,4.871,,,4.582,7.332,6.802,,,,,,,,,,,,,,,,
2007-07-04,5.548,10.079,,11.098,,14.445,,,5.525,,,,,,,,,,,,,,,,,,,,,,,,5.927,,,4.917,8.423,8.230,,,,,,,,,,,,,,,,
2007-07-05,4.775,9.221,,9.655,,14.474,,,3.675,,,,,,,,,,,,,,,,,,,,,,,,5.418,,,3.881,7.111,7.265,,,,,,,,,,,,,,,,
2007-07-06,4.882,9.522,,10.486,,14.455,,,4.453,,,,,,,,,,,,,,,,,,,,,,,,4.612,,,3.866,7.796,7.287,,,,,,,,,,,,,,,,
2007-07-07,4.843,9.178,,10.164,,14.329,,,4.903,,,,,,,,,,,,,,,,,,,,,,,,5.169,,,3.900,7.869,7.372,,,,,,,,,,,,,,,,
2007-07-08,3.436,7.790,,8.618,,11.999,,,3.467,,,,,,,,,,,,,,,,,,,,,,,,4.188,,,2.996,6.050,5.103,,,,,,,,,,,,,,,,
2007-07-09,4.418,9.802,,10.096,,13.605,,,4.176,,,,,,,,,,,,,,,,,,,,,,,,5.142,,,3.768,7.102,6.884,,,,,,,,,,,,,,,,
2007-07-10,5.500,9.490,,10.259,,14.516,,,5.340,,,,,,,,,,,,,,,,,,,,,,,,5.718,,,4.178,8.149,7.529,,,,,,,,,,,,,,,,
2007-07-11,5.448,9.937,,10.844,,13.886,,,6.054,,,,,,,,,,,,,,,,,,,,,,,,5.714,,,4.423,8.785,7.456,,,,,,,,,,,,,,,,
2007-07-12,5.665,9.432,,10.197,,13.540,,,5.387,,,,,,,,,,,,,,,,,,,,,,,,5.770,,,4.709,8.307,8.459,,,,,,,,,,,,,,,,
2007-07-13,5.496,9.279,,10.245,,13.055,,,5.367,,,,,,,,,,,,,,,,,,,,,,,,5.610,,,4.268,8.324,7.264,,,,,,,,,,,,,,,,
2007-07-14,5.313,8.680,,10.163,,12.602,,,5.788,,,,,,,,,,,,,,,,,,,,,,,,5.148,,,4.062,8.421,7.815,,,,,,,,,,,,,,,,
2007-07-15,4.745,7.731,,9.519,,12.456,,,4.640,,,,,,,,,,,,,,,,,,,,,,,,4.462,,,3.023,7.444,6.904,,,,,,,,,,,,,,,,
2007-07-16,5.147,8.532,,10.168,,13.466,,,5.105,,,,,,,,,,,,,,,,,,,,,,,,5.014,,,3.797,7.937,6.745,,,,,,,,,,,,,,,,
2007-07-17,5.201,7.330,,8.516,,12.592,,,4.289,,,,,,,,,,,,,,,,,,,,,,,,5.113,,,3.862,6.231,6.111,,,,,,,,,,,,,,,,
2007-07-18,3.982,8.410,,9.237,,12.233,,,3.431,,,,,,,,,,,,,,,,,,,,,,,,4.852,,,3.810,6.421,6.188,,,,,,,,,,,,,,,,
2007-07-19,4.969,8.010,,9.040,,12.606,,,4.321,,,,,,,,,,,,,,,,,,,,,,,,5.257,,,3.871,6.584,6.912,,,,,,,,,,,,,,,,
2007-07-20,3.780,6.972,,8.281,,12.443,,,3.649,,,,,,,,,,,,,,,,,,,,,,,,3.663,,,2.704,6.505,5.689,,,,,,,,,,,,,,,,
2007-07-21,4.046,7.995,,9.045,,12.024,,,4.114,,,,,,,,,,,,,,,,,,,,,,,,4.437,,,3.923,6.254,5.723,,,,,,,,,,,,,,,,
2007-07-22,3.988,8.068,,8.997,,12.498,,,3.739,,,,,,,,,,,,,,,,,,,,,,,,4.890,,,3.705,5.833,6.182,,,,,,,,,,,,,,,,
2007-07-23,3.645,7.936,,9.266,,12.998,,,2.630,,,,,,,,,,,,,,,,,,,,,,,,5.433,,,4.388,5.538,6.389,,,,,,,,,,,,,,,,
2007-07-24,4.411,9.321,,9.688,,13.353,,,2.785,,,,,,,,,,,,,,,,,,,,,,,,5.789,,,5.074,6.117,7.538,,,,,,,,,,,,,,,,
2007-07-25,4.766,8.405,,9.607,,13.592,,,4.374,,,,,,,,,,,,,,,,,,,,,,,,4.947,,,3.844,7.397,7.078,,,,,,,,,,,,,,,,
2007-07-26,5.278,8.837,,9.876,,13.853,,,4.752,,,,,,,,,,,,,,,,,,,,,,,,4.699,,,3.885,7.757,6.796,,,,,,,,,,,,,,,,
2007-07-27,2.388,7.194,,8.641,,13.041,,,2.592,,,,,,,,,,,,,,,,,,,,,,,,2.593,,,1.637,5.573,5.794,,,,,,,,,,,,,,,,
2007-07-28,2.798,9.390,,9.866,,13.974,,,2.944,,,,,,,,,,,,,,,,,,,,,,,,4.027,,,3.648,6.239,6.303,,,,,,,,,,,,,,,,
